"","FinYear","ecd","State"
"1","1988",0.565854326195338,"Northern Territory"
"2","1989",0.62211888202068,"Northern Territory"
"3","1990",0.669263946838024,"Northern Territory"
"4","1991",0.689147117965556,"Northern Territory"
"5","1992",0.709503983862977,"Northern Territory"
"6","1993",0.733952336517735,"Northern Territory"
"7","1994",0.753300580160135,"Northern Territory"
"8","1995",0.772480974086994,"Northern Territory"
"9","1996",0.792504329200385,"Northern Territory"
"10","1997",0.807203212929229,"Northern Territory"
"11","1998",0.829755907928047,"Northern Territory"
"12","1999",0.849212135402812,"Northern Territory"
"13","2000",0.865701854837886,"Northern Territory"
"14","2001",0.878099283251975,"Northern Territory"
"15","2002",0.890646497981721,"Northern Territory"
"16","2003",0.910378582075784,"Northern Territory"
"17","2004",0.926052536192625,"Northern Territory"
"18","2005",0.939764823220779,"Northern Territory"
"19","2006",0.9507917502629,"Northern Territory"
"20","2007",0.96270250344235,"Northern Territory"
"21","2008",0.975291367671497,"Northern Territory"
"22","2009",0.981798234800543,"Northern Territory"
"23","2010",0.984927509445432,"Northern Territory"
"24","2011",0.987992238962877,"Northern Territory"
"25","2012",0.991009071192799,"Northern Territory"
"26","2013",0.995913522971044,"Northern Territory"
"27","2014",0.996661698956781,"Northern Territory"
"28","2015",1,"Northern Territory"
"29","1988",0.377049180327869,"Australian Capital Territory"
"30","1989",0.39344262295082,"Australian Capital Territory"
"31","1990",0.508196721311475,"Australian Capital Territory"
"32","1991",0.516393442622951,"Australian Capital Territory"
"33","1992",0.524590163934426,"Australian Capital Territory"
"34","1993",0.59016393442623,"Australian Capital Territory"
"35","1994",0.639344262295082,"Australian Capital Territory"
"36","1995",0.647541,"Australian Capital Territory"
"37","1996",0.6557377,"Australian Capital Territory"
"38","1997",0.6639344,"Australian Capital Territory"
"39","1998",0.672131147540984,"Australian Capital Territory"
"40","1999",0.688524590163934,"Australian Capital Territory"
"41","2000",0.69672131147541,"Australian Capital Territory"
"42","2001",0.704918032786885,"Australian Capital Territory"
"43","2002",0.721311475409836,"Australian Capital Territory"
"44","2003",0.745901639344262,"Australian Capital Territory"
"45","2004",0.770491803278688,"Australian Capital Territory"
"46","2005",0.80327868852459,"Australian Capital Territory"
"47","2006",0.852459016393443,"Australian Capital Territory"
"48","2007",0.885245901639344,"Australian Capital Territory"
"49","2008",0.918032786885246,"Australian Capital Territory"
"50","2009",0.934426229508197,"Australian Capital Territory"
"51","2010",0.950819672131147,"Australian Capital Territory"
"52","2011",0.967213114754098,"Australian Capital Territory"
"53","2012",0.975409836065574,"Australian Capital Territory"
"54","2013",0.983606557377049,"Australian Capital Territory"
"55","2014",0.991803278688525,"Australian Capital Territory"
"56","2015",1,"Australian Capital Territory"
"57","1988",0.661818181818182,"New South Wales"
"58","1989",0.707272727272727,"New South Wales"
"59","1990",0.739090909090909,"New South Wales"
"60","1991",0.754545454545455,"New South Wales"
"61","1992",0.778181818181818,"New South Wales"
"62","1993",0.804545454545455,"New South Wales"
"63","1994",0.82,"New South Wales"
"64","1995",0.851818181818182,"New South Wales"
"65","1996",0.880909090909091,"New South Wales"
"66","1997",0.899090909090909,"New South Wales"
"67","1998",0.913636363636364,"New South Wales"
"68","1999",0.925454545454545,"New South Wales"
"69","2000",0.937272727272727,"New South Wales"
"70","2001",0.943636363636364,"New South Wales"
"71","2002",0.949090909090909,"New South Wales"
"72","2003",0.960909090909091,"New South Wales"
"73","2004",0.975454545454545,"New South Wales"
"74","2005",0.981818181818182,"New South Wales"
"75","2006",0.985454545454545,"New South Wales"
"76","2007",0.991818181818182,"New South Wales"
"77","2008",0.996363636363636,"New South Wales"
"78","2009",0.997272727272727,"New South Wales"
"79","2010",NA,"New South Wales"
"80","2011",NA,"New South Wales"
"81","2012",NA,"New South Wales"
"82","2013",NA,"New South Wales"
"83","2014",0.998181818181818,"New South Wales"
"84","2015",1,"New South Wales"
"85","1988",0.514159292035398,"Queensland"
"86","1989",0.626548672566372,"Queensland"
"87","1990",0.667256637168142,"Queensland"
"88","1991",0.684955752212389,"Queensland"
"89","1992",0.704424778761062,"Queensland"
"90","1993",0.730973451327434,"Queensland"
"91","1994",0.750442477876106,"Queensland"
"92","1995",0.770796460176991,"Queensland"
"93","1996",0.800884955752212,"Queensland"
"94","1997",0.813274336283186,"Queensland"
"95","1998",0.846017699115044,"Queensland"
"96","1999",0.858407079646018,"Queensland"
"97","2000",0.873451327433628,"Queensland"
"98","2001",0.892920353982301,"Queensland"
"99","2002",0.900884955752212,"Queensland"
"100","2003",0.92212389380531,"Queensland"
"101","2004",0.939823008849557,"Queensland"
"102","2005",0.954867256637168,"Queensland"
"103","2006",0.961061946902655,"Queensland"
"104","2007",0.973451327433628,"Queensland"
"105","2008",0.993805309734513,"Queensland"
"106","2009",0.997345132743363,"Queensland"
"107","2010",1,"Queensland"
"108","2011",NA,"Queensland"
"109","2012",NA,"Queensland"
"110","2013",NA,"Queensland"
"111","2014",NA,"Queensland"
"112","2015",NA,"Queensland"
"113","1988",0.579378068739771,"South Australia"
"114","1989",0.650572831423895,"South Australia"
"115","1990",0.68494271685761,"South Australia"
"116","1991",0.718494271685761,"South Australia"
"117","1992",0.740589198036007,"South Australia"
"118","1993",0.761865793780687,"South Australia"
"119","1994",0.77986906710311,"South Australia"
"120","1995",0.799509001636661,"South Australia"
"121","1996",0.824058919803601,"South Australia"
"122","1997",0.829787234042553,"South Australia"
"123","1998",0.861702127659574,"South Australia"
"124","1999",0.878887070376432,"South Australia"
"125","2000",0.900981996726678,"South Australia"
"126","2001",0.909983633387889,"South Australia"
"127","2002",0.919803600654664,"South Australia"
"128","2003",0.943535188216039,"South Australia"
"129","2004",0.953355155482815,"South Australia"
"130","2005",0.963993453355156,"South Australia"
"131","2006",0.96481178396072,"South Australia"
"132","2007",0.971358428805237,"South Australia"
"133","2008",0.978723404255319,"South Australia"
"134","2009",0.985270049099836,"South Australia"
"135","2010",0.98936170212766,"South Australia"
"136","2011",0.995090016366612,"South Australia"
"137","2012",0.995908346972177,"South Australia"
"138","2013",0.999181669394435,"South Australia"
"139","2014",NA,"South Australia"
"140","2015",1,"South Australia"
"141","1988",0.587009803921569,"Tasmania"
"142","1989",0.616421568627451,"Tasmania"
"143","1990",0.644607843137255,"Tasmania"
"144","1991",0.676470588235294,"Tasmania"
"145","1992",0.714460784313726,"Tasmania"
"146","1993",0.731617647058823,"Tasmania"
"147","1994",0.75,"Tasmania"
"148","1995",0.770833333333333,"Tasmania"
"149","1996",0.784313725490196,"Tasmania"
"150","1997",0.802696078431373,"Tasmania"
"151","1998",0.825980392156863,"Tasmania"
"152","1999",0.839460784313726,"Tasmania"
"153","2000",0.857843137254902,"Tasmania"
"154","2001",0.872549019607843,"Tasmania"
"155","2002",0.895833333333333,"Tasmania"
"156","2003",0.920343137254902,"Tasmania"
"157","2004",0.939950980392157,"Tasmania"
"158","2005",0.952205882352941,"Tasmania"
"159","2006",0.957107843137255,"Tasmania"
"160","2007",0.965686274509804,"Tasmania"
"161","2008",0.970588235294118,"Tasmania"
"162","2009",0.980392156862745,"Tasmania"
"163","2010",0.986519607843137,"Tasmania"
"164","2011",0.991421568627451,"Tasmania"
"165","2012",0.997549019607843,"Tasmania"
"166","2013",1,"Tasmania"
"167","2014",NA,"Tasmania"
"168","2015",NA,"Tasmania"
"169","1988",0.673127753303965,"Victoria"
"170","1989",0.718061674008811,"Victoria"
"171","1990",0.751541850220264,"Victoria"
"172","1991",0.772687224669603,"Victoria"
"173","1992",0.797356828193833,"Victoria"
"174","1993",0.80352422907489,"Victoria"
"175","1994",0.808810572687225,"Victoria"
"176","1995",0.822907488986784,"Victoria"
"177","1996",0.843171806167401,"Victoria"
"178","1997",0.859030837004405,"Victoria"
"179","1998",0.874008810572687,"Victoria"
"180","1999",0.898678414096916,"Victoria"
"181","2000",0.922466960352423,"Victoria"
"182","2001",0.941850220264317,"Victoria"
"183","2002",0.950660792951542,"Victoria"
"184","2003",0.960352422907489,"Victoria"
"185","2004",0.970925110132159,"Victoria"
"186","2005",0.975330396475771,"Victoria"
"187","2006",0.979735682819383,"Victoria"
"188","2007",0.986784140969163,"Victoria"
"189","2008",0.992070484581498,"Victoria"
"190","2009",0.995594713656388,"Victoria"
"191","2010",0.997356828193833,"Victoria"
"192","2011",0.999118942731278,"Victoria"
"193","2012",NA,"Victoria"
"194","2013",1,"Victoria"
"195","2014",NA,"Victoria"
"196","2015",NA,"Victoria"
"197","1988",0.568438003220612,"Western Australia"
"198","1989",0.642512077294686,"Western Australia"
"199","1990",0.689210950080515,"Western Australia"
"200","1991",0.70048309178744,"Western Australia"
"201","1992",0.706924315619968,"Western Australia"
"202","1993",0.714975845410628,"Western Australia"
"203","1994",0.72463768115942,"Western Australia"
"204","1995",0.743961352657005,"Western Australia"
"205","1996",0.758454106280193,"Western Australia"
"206","1997",0.782608695652174,"Western Australia"
"207","1998",0.814814814814815,"Western Australia"
"208","1999",0.855072463768116,"Western Australia"
"209","2000",0.871175523349436,"Western Australia"
"210","2001",0.880837359098229,"Western Australia"
"211","2002",0.896940418679549,"Western Australia"
"212","2003",0.919484702093398,"Western Australia"
"213","2004",0.932367149758454,"Western Australia"
"214","2005",0.946859903381642,"Western Australia"
"215","2006",0.954911433172303,"Western Australia"
"216","2007",0.964573268921095,"Western Australia"
"217","2008",0.977455716586151,"Western Australia"
"218","2009",0.982286634460548,"Western Australia"
"219","2010",0.985507246376812,"Western Australia"
"220","2011",0.987117552334944,"Western Australia"
"221","2012",0.995169082125604,"Western Australia"
"222","2013",0.996779388083736,"Western Australia"
"223","2014",1,"Western Australia"
"224","2015",NA,"Western Australia"
